club_name,league,season,squad_value_m
OGC Nice,Ligue 1,2024/2025,227.05
RC Lens,Ligue 1,2024/2025,221.45
Stade Reims,Ligue 1,2024/2025,152.5
FC Toulouse,Ligue 1,2024/2025,121.6
FC Nantes,Ligue 1,2024/2025,114.65
Stade Brestois 29,Ligue 1,2024/2025,110.65
AJ Auxerre,Ligue 1,2024/2025,86.9
AS Saint-Étienne,Ligue 1,2024/2025,81.6
Le Havre AC,Ligue 1,2024/2025,70.55
Montpellier HSC,Ligue 1,2024/2025,65.85
Angers SCO,Ligue 1,2024/2025,51.65
Ajax Amsterdam,Eredivisie,2019/2020,400.4
PSV Eindhoven,Eredivisie,2019/2020,219.58
AZ Alkmaar,Eredivisie,2019/2020,130.05
Feyenoord Rotterdam,Eredivisie,2019/2020,102.73
FC Utrecht,Eredivisie,2019/2020,48.58
Vitesse Arnhem,Eredivisie,2019/2020,30.53
FC Groningen,Eredivisie,2019/2020,30.4
SC Heerenveen,Eredivisie,2019/2020,26.75
Heracles Almelo,Eredivisie,2019/2020,22.48
Willem II Tilburg,Eredivisie,2019/2020,21.8
FC Twente Enschede,Eredivisie,2019/2020,21.28
ADO Den Haag,Eredivisie,2019/2020,19.4
PEC Zwolle,Eredivisie,2019/2020,16.5
Sparta Rotterdam,Eredivisie,2019/2020,15.5
FC Emmen,Eredivisie,2019/2020,13.23
Fortuna Sittard,Eredivisie,2019/2020,13.08
VVV-Venlo,Eredivisie,2019/2020,12.03
RKC Waalwijk,Eredivisie,2019/2020,10.78
Ajax Amsterdam,Eredivisie,2020/2021,428.1
PSV Eindhoven,Eredivisie,2020/2021,204.58
AZ Alkmaar,Eredivisie,2020/2021,135.53
Feyenoord Rotterdam,Eredivisie,2020/2021,108.38
FC Utrecht,Eredivisie,2020/2021,46.63
FC Groningen,Eredivisie,2020/2021,34.05
Vitesse Arnhem,Eredivisie,2020/2021,31.5
SC Heerenveen,Eredivisie,2020/2021,30.95
FC Twente Enschede,Eredivisie,2020/2021,28.35
Willem II Tilburg,Eredivisie,2020/2021,21.35
Fortuna Sittard,Eredivisie,2020/2021,18.55
PEC Zwolle,Eredivisie,2020/2021,17.65
Heracles Almelo,Eredivisie,2020/2021,17.58
Sparta Rotterdam,Eredivisie,2020/2021,16.43
ADO Den Haag,Eredivisie,2020/2021,15.98
FC Emmen,Eredivisie,2020/2021,14.63
VVV-Venlo,Eredivisie,2020/2021,13.73
RKC Waalwijk,Eredivisie,2020/2021,11.63
Ajax Amsterdam,Eredivisie,2021/2022,386.05
PSV Eindhoven,Eredivisie,2021/2022,210.78
Feyenoord Rotterdam,Eredivisie,2021/2022,180.38
AZ Alkmaar,Eredivisie,2021/2022,99.23
Vitesse Arnhem,Eredivisie,2021/2022,47.1
FC Utrecht,Eredivisie,2021/2022,46.6
FC Groningen,Eredivisie,2021/2022,43.35
SC Heerenveen,Eredivisie,2021/2022,41.25
FC Twente Enschede,Eredivisie,2021/2022,35.28
Sparta Rotterdam,Eredivisie,2021/2022,20.93
Heracles Almelo,Eredivisie,2021/2022,18.35
Fortuna Sittard,Eredivisie,2021/2022,18.08
Willem II Tilburg,Eredivisie,2021/2022,15.6
NEC Nijmegen,Eredivisie,2021/2022,14.28
PEC Zwolle,Eredivisie,2021/2022,14.23
Go Ahead Eagles,Eredivisie,2021/2022,12.93
SC Cambuur Leeuwarden,Eredivisie,2021/2022,12.45
RKC Waalwijk,Eredivisie,2021/2022,11.95
Ajax Amsterdam,Eredivisie,2022/2023,390.38
PSV Eindhoven,Eredivisie,2022/2023,315.65
Feyenoord Rotterdam,Eredivisie,2022/2023,267.8
AZ Alkmaar,Eredivisie,2022/2023,135.93
FC Twente Enschede,Eredivisie,2022/2023,62.25
FC Utrecht,Eredivisie,2022/2023,56.2
SC Heerenveen,Eredivisie,2022/2023,51.1
FC Groningen,Eredivisie,2022/2023,48.78
Vitesse Arnhem,Eredivisie,2022/2023,43.7
Sparta Rotterdam,Eredivisie,2022/2023,33.68
Fortuna Sittard,Eredivisie,2022/2023,25.4
NEC Nijmegen,Eredivisie,2022/2023,24.0
FC Volendam,Eredivisie,2022/2023,17.43
Go Ahead Eagles,Eredivisie,2022/2023,16.1
Excelsior Rotterdam,Eredivisie,2022/2023,15.85
SC Cambuur Leeuwarden,Eredivisie,2022/2023,15.6
FC Emmen,Eredivisie,2022/2023,14.73
RKC Waalwijk,Eredivisie,2022/2023,13.63
PSV Eindhoven,Eredivisie,2023/2024,373.7
Feyenoord Rotterdam,Eredivisie,2023/2024,338.0
Ajax Amsterdam,Eredivisie,2023/2024,327.65
AZ Alkmaar,Eredivisie,2023/2024,131.15
FC Twente Enschede,Eredivisie,2023/2024,85.78
FC Utrecht,Eredivisie,2023/2024,69.28
NEC Nijmegen,Eredivisie,2023/2024,44.3
SC Heerenveen,Eredivisie,2023/2024,38.78
Sparta Rotterdam,Eredivisie,2023/2024,35.88
Fortuna Sittard,Eredivisie,2023/2024,35.03
Vitesse Arnhem,Eredivisie,2023/2024,32.35
Excelsior Rotterdam,Eredivisie,2023/2024,26.43
Go Ahead Eagles,Eredivisie,2023/2024,25.78
PEC Zwolle,Eredivisie,2023/2024,21.18
Almere City FC,Eredivisie,2023/2024,19.6
Heracles Almelo,Eredivisie,2023/2024,16.3
FC Volendam,Eredivisie,2023/2024,15.53
RKC Waalwijk,Eredivisie,2023/2024,14.85
Feyenoord Rotterdam,Eredivisie,2024/2025,349.38
PSV Eindhoven,Eredivisie,2024/2025,332.8
Ajax Amsterdam,Eredivisie,2024/2025,274.3
AZ Alkmaar,Eredivisie,2024/2025,133.2
FC Twente Enschede,Eredivisie,2024/2025,91.1
FC Utrecht,Eredivisie,2024/2025,70.63
SC Heerenveen,Eredivisie,2024/2025,48.95
Sparta Rotterdam,Eredivisie,2024/2025,46.93
Go Ahead Eagles,Eredivisie,2024/2025,45.35
NEC Nijmegen,Eredivisie,2024/2025,41.25
FC Groningen,Eredivisie,2024/2025,34.33
PEC Zwolle,Eredivisie,2024/2025,28.05
Fortuna Sittard,Eredivisie,2024/2025,23.45
NAC Breda,Eredivisie,2024/2025,23.25
Heracles Almelo,Eredivisie,2024/2025,20.25
Almere City FC,Eredivisie,2024/2025,17.03
Willem II Tilburg,Eredivisie,2024/2025,15.8
RKC Waalwijk,Eredivisie,2024/2025,11.95
SL Benfica,Primeira Liga,2019/2020,312.7
FC Porto,Primeira Liga,2019/2020,224.45
Sporting CP,Primeira Liga,2019/2020,175.53
SC Braga,Primeira Liga,2019/2020,102.9
Vitória Guimarães SC,Primeira Liga,2019/2020,65.15
FC Famalicão,Primeira Liga,2019/2020,38.95
Portimonense SAD,Primeira Liga,2019/2020,23.0
Rio Ave FC,Primeira Liga,2019/2020,20.95
CS Marítimo,Primeira Liga,2019/2020,16.25
B SAD,Primeira Liga,2019/2020,15.08
Boavista FC,Primeira Liga,2019/2020,14.78
CD Santa Clara,Primeira Liga,2019/2020,14.7
Moreirense FC,Primeira Liga,2019/2020,14.55
FC Paços de Ferreira,Primeira Liga,2019/2020,14.35
Desportivo Aves (- 2020),Primeira Liga,2019/2020,14.18
Vitória Setúbal FC,Primeira Liga,2019/2020,13.75
CD Tondela,Primeira Liga,2019/2020,13.28
Gil Vicente FC,Primeira Liga,2019/2020,12.23
SL Benfica,Primeira Liga,2020/2021,377.35
FC Porto,Primeira Liga,2020/2021,327.6
Sporting CP,Primeira Liga,2020/2021,257.28
SC Braga,Primeira Liga,2020/2021,142.95
FC Famalicão,Primeira Liga,2020/2021,64.93
Vitória Guimarães SC,Primeira Liga,2020/2021,54.5
Boavista FC,Primeira Liga,2020/2021,35.15
Rio Ave FC,Primeira Liga,2020/2021,32.88
FC Paços de Ferreira,Primeira Liga,2020/2021,27.4
Portimonense SAD,Primeira Liga,2020/2021,24.85
CS Marítimo,Primeira Liga,2020/2021,23.45
CD Santa Clara,Primeira Liga,2020/2021,22.8
Moreirense FC,Primeira Liga,2020/2021,22.08
SC Farense,Primeira Liga,2020/2021,21.2
B SAD,Primeira Liga,2020/2021,19.23
Gil Vicente FC,Primeira Liga,2020/2021,16.8
CD Tondela,Primeira Liga,2020/2021,13.6
CD Nacional,Primeira Liga,2020/2021,12.95
FC Porto,Primeira Liga,2021/2022,403.58
Sporting CP,Primeira Liga,2021/2022,337.73
SL Benfica,Primeira Liga,2021/2022,310.18
SC Braga,Primeira Liga,2021/2022,159.03
Vitória Guimarães SC,Primeira Liga,2021/2022,68.0
FC Famalicão,Primeira Liga,2021/2022,67.85
Boavista FC,Primeira Liga,2021/2022,38.85
Portimonense SAD,Primeira Liga,2021/2022,38.38
GD Estoril Praia,Primeira Liga,2021/2022,36.23
CD Santa Clara,Primeira Liga,2021/2022,30.6
Gil Vicente FC,Primeira Liga,2021/2022,29.73
FC Paços de Ferreira,Primeira Liga,2021/2022,26.0
CD Tondela,Primeira Liga,2021/2022,21.83
B SAD,Primeira Liga,2021/2022,20.0
Moreirense FC,Primeira Liga,2021/2022,19.0
FC Arouca,Primeira Liga,2021/2022,16.8
FC Vizela,Primeira Liga,2021/2022,16.7
CS Marítimo,Primeira Liga,2021/2022,16.1
SL Benfica,Primeira Liga,2022/2023,477.58
Sporting CP,Primeira Liga,2022/2023,366.6
FC Porto,Primeira Liga,2022/2023,284.55
SC Braga,Primeira Liga,2022/2023,150.75
Vitória Guimarães SC,Primeira Liga,2022/2023,72.4
FC Famalicão,Primeira Liga,2022/2023,51.85
Gil Vicente FC,Primeira Liga,2022/2023,46.85
GD Estoril Praia,Primeira Liga,2022/2023,36.15
Portimonense SAD,Primeira Liga,2022/2023,31.58
Boavista FC,Primeira Liga,2022/2023,28.85
FC Paços de Ferreira,Primeira Liga,2022/2023,28.13
CD Santa Clara,Primeira Liga,2022/2023,23.7
FC Arouca,Primeira Liga,2022/2023,21.0
FC Vizela,Primeira Liga,2022/2023,18.48
Rio Ave FC,Primeira Liga,2022/2023,17.8
GD Chaves,Primeira Liga,2022/2023,17.75
Casa Pia AC,Primeira Liga,2022/2023,17.3
CS Marítimo,Primeira Liga,2022/2023,16.53
SL Benfica,Primeira Liga,2023/2024,427.6
Sporting CP,Primeira Liga,2023/2024,384.2
FC Porto,Primeira Liga,2023/2024,369.65
SC Braga,Primeira Liga,2023/2024,159.4
FC Famalicão,Primeira Liga,2023/2024,72.75
Vitória Guimarães SC,Primeira Liga,2023/2024,67.9
GD Estoril Praia,Primeira Liga,2023/2024,56.65
FC Arouca,Primeira Liga,2023/2024,44.1
Gil Vicente FC,Primeira Liga,2023/2024,32.15
Boavista FC,Primeira Liga,2023/2024,30.0
Moreirense FC,Primeira Liga,2023/2024,26.9
Rio Ave FC,Primeira Liga,2023/2024,26.2
Casa Pia AC,Primeira Liga,2023/2024,23.18
FC Vizela,Primeira Liga,2023/2024,22.85
Portimonense SAD,Primeira Liga,2023/2024,22.28
SC Farense,Primeira Liga,2023/2024,20.05
CF Estrela Amadora,Primeira Liga,2023/2024,19.58
GD Chaves,Primeira Liga,2023/2024,18.8
Sporting CP,Primeira Liga,2024/2025,567.1
FC Porto,Primeira Liga,2024/2025,479.45
SL Benfica,Primeira Liga,2024/2025,445.25
SC Braga,Primeira Liga,2024/2025,186.8
Vitória Guimarães SC,Primeira Liga,2024/2025,99.65
FC Famalicão,Primeira Liga,2024/2025,96.05
Rio Ave FC,Primeira Liga,2024/2025,49.58
GD Estoril Praia,Primeira Liga,2024/2025,44.5
CD Santa Clara,Primeira Liga,2024/2025,42.5
FC Arouca,Primeira Liga,2024/2025,37.38
Gil Vicente FC,Primeira Liga,2024/2025,37.25
Casa Pia AC,Primeira Liga,2024/2025,32.75
Moreirense FC,Primeira Liga,2024/2025,31.45
SC Farense,Primeira Liga,2024/2025,26.53
CF Estrela Amadora,Primeira Liga,2024/2025,26.2
CD Nacional,Primeira Liga,2024/2025,21.98
Avs Futebol,Primeira Liga,2024/2025,20.7
Boavista FC,Primeira Liga,2024/2025,18.4
Club Brugge KV,Belgian Pro League,2019/2020,160.73
RSC Anderlecht,Belgian Pro League,2019/2020,137.28
KRC Genk,Belgian Pro League,2019/2020,113.53
KAA Gent,Belgian Pro League,2019/2020,95.1
Standard Liège,Belgian Pro League,2019/2020,76.68
Royal Antwerp FC,Belgian Pro League,2019/2020,49.98
Cercle Brugge,Belgian Pro League,2019/2020,31.93
Royal Charleroi SC,Belgian Pro League,2019/2020,31.65
Zulte Waregem,Belgian Pro League,2019/2020,30.08
Sint-Truidense VV,Belgian Pro League,2019/2020,26.75
Royal Excel Mouscron (-2022),Belgian Pro League,2019/2020,26.15
KAS Eupen,Belgian Pro League,2019/2020,26.05
KV Oostende (-2024),Belgian Pro League,2019/2020,23.85
KV Mechelen,Belgian Pro League,2019/2020,23.63
KV Kortrijk,Belgian Pro League,2019/2020,19.9
KVRS Waasland - SK Beveren,Belgian Pro League,2019/2020,14.93
Club Brugge KV,Belgian Pro League,2020/2021,170.9
KRC Genk,Belgian Pro League,2020/2021,140.05
RSC Anderlecht,Belgian Pro League,2020/2021,139.8
Standard Liège,Belgian Pro League,2020/2021,85.25
KAA Gent,Belgian Pro League,2020/2021,81.65
Royal Antwerp FC,Belgian Pro League,2020/2021,54.4
Royal Charleroi SC,Belgian Pro League,2020/2021,42.83
Cercle Brugge,Belgian Pro League,2020/2021,40.45
KV Oostende (-2024),Belgian Pro League,2020/2021,34.55
Oud-Heverlee Leuven,Belgian Pro League,2020/2021,32.65
KV Mechelen,Belgian Pro League,2020/2021,31.88
KV Kortrijk,Belgian Pro League,2020/2021,31.8
Beerschot VA,Belgian Pro League,2020/2021,24.8
Sint-Truidense VV,Belgian Pro League,2020/2021,23.08
Zulte Waregem,Belgian Pro League,2020/2021,22.75
KAS Eupen,Belgian Pro League,2020/2021,21.1
KVRS Waasland - SK Beveren,Belgian Pro League,2020/2021,20.95
Royal Excel Mouscron (-2022),Belgian Pro League,2020/2021,18.03
Club Brugge KV,Belgian Pro League,2021/2022,200.5
KRC Genk,Belgian Pro League,2021/2022,120.1
RSC Anderlecht,Belgian Pro League,2021/2022,113.05
Royal Antwerp FC,Belgian Pro League,2021/2022,61.9
KAA Gent,Belgian Pro League,2021/2022,61.28
Standard Liège,Belgian Pro League,2021/2022,60.3
Union Saint-Gilloise,Belgian Pro League,2021/2022,54.8
Royal Charleroi SC,Belgian Pro League,2021/2022,51.3
KV Oostende (-2024),Belgian Pro League,2021/2022,45.45
KV Mechelen,Belgian Pro League,2021/2022,35.8
Oud-Heverlee Leuven,Belgian Pro League,2021/2022,30.85
KV Kortrijk,Belgian Pro League,2021/2022,28.25
Sint-Truidense VV,Belgian Pro League,2021/2022,27.0
Cercle Brugge,Belgian Pro League,2021/2022,25.3
Beerschot VA,Belgian Pro League,2021/2022,24.18
KAS Eupen,Belgian Pro League,2021/2022,21.03
Zulte Waregem,Belgian Pro League,2021/2022,20.73
RFC Seraing,Belgian Pro League,2021/2022,15.28
Club Brugge KV,Belgian Pro League,2022/2023,182.3
KRC Genk,Belgian Pro League,2022/2023,169.4
Royal Antwerp FC,Belgian Pro League,2022/2023,122.4
RSC Anderlecht,Belgian Pro League,2022/2023,121.25
KAA Gent,Belgian Pro League,2022/2023,100.2
Union Saint-Gilloise,Belgian Pro League,2022/2023,71.35
Standard Liège,Belgian Pro League,2022/2023,61.1
Royal Charleroi SC,Belgian Pro League,2022/2023,53.9
KVC Westerlo,Belgian Pro League,2022/2023,45.55
Cercle Brugge,Belgian Pro League,2022/2023,42.88
Oud-Heverlee Leuven,Belgian Pro League,2022/2023,41.55
KV Mechelen,Belgian Pro League,2022/2023,28.45
KV Kortrijk,Belgian Pro League,2022/2023,28.05
Sint-Truidense VV,Belgian Pro League,2022/2023,22.93
Zulte Waregem,Belgian Pro League,2022/2023,20.9
KAS Eupen,Belgian Pro League,2022/2023,19.73
KV Oostende (-2024),Belgian Pro League,2022/2023,18.85
RFC Seraing,Belgian Pro League,2022/2023,12.93
KRC Genk,Belgian Pro League,2023/2024,180.5
Club Brugge KV,Belgian Pro League,2023/2024,161.55
Royal Antwerp FC,Belgian Pro League,2023/2024,143.8
RSC Anderlecht,Belgian Pro League,2023/2024,133.0
KAA Gent,Belgian Pro League,2023/2024,122.3
Union Saint-Gilloise,Belgian Pro League,2023/2024,111.4
Standard Liège,Belgian Pro League,2023/2024,81.45
Cercle Brugge,Belgian Pro League,2023/2024,81.38
Oud-Heverlee Leuven,Belgian Pro League,2023/2024,47.3
KVC Westerlo,Belgian Pro League,2023/2024,45.1
Sint-Truidense VV,Belgian Pro League,2023/2024,40.3
KV Mechelen,Belgian Pro League,2023/2024,39.25
RWD Molenbeek,Belgian Pro League,2023/2024,36.48
Royal Charleroi SC,Belgian Pro League,2023/2024,35.6
KV Kortrijk,Belgian Pro League,2023/2024,26.48
KAS Eupen,Belgian Pro League,2023/2024,18.03
Club Brugge KV,Belgian Pro League,2024/2025,245.6
KRC Genk,Belgian Pro League,2024/2025,207.2
Union Saint-Gilloise,Belgian Pro League,2024/2025,131.25
RSC Anderlecht,Belgian Pro League,2024/2025,124.1
KAA Gent,Belgian Pro League,2024/2025,106.7
Royal Antwerp FC,Belgian Pro League,2024/2025,106.65
KVC Westerlo,Belgian Pro League,2024/2025,86.2
Standard Liège,Belgian Pro League,2024/2025,75.75
Cercle Brugge,Belgian Pro League,2024/2025,64.95
Oud-Heverlee Leuven,Belgian Pro League,2024/2025,55.95
Royal Charleroi SC,Belgian Pro League,2024/2025,47.3
KV Mechelen,Belgian Pro League,2024/2025,36.6
Sint-Truidense VV,Belgian Pro League,2024/2025,34.65
KV Kortrijk,Belgian Pro League,2024/2025,34.05
FCV Dender EH,Belgian Pro League,2024/2025,23.25
Beerschot VA,Belgian Pro League,2024/2025,22.33
Celtic FC,Scottish Premiership,2019/2020,111.43
Rangers FC,Scottish Premiership,2019/2020,55.35
Heart of Midlothian FC,Scottish Premiership,2019/2020,18.98
Aberdeen FC,Scottish Premiership,2019/2020,15.48
Hibernian FC,Scottish Premiership,2019/2020,14.73
Motherwell FC,Scottish Premiership,2019/2020,10.53
Kilmarnock FC,Scottish Premiership,2019/2020,8.98
Ross County FC,Scottish Premiership,2019/2020,8.25
Livingston FC,Scottish Premiership,2019/2020,7.45
St. Johnstone FC,Scottish Premiership,2019/2020,7.43
Hamilton Academical FC,Scottish Premiership,2019/2020,6.6
St. Mirren FC,Scottish Premiership,2019/2020,6.23
Celtic FC,Scottish Premiership,2020/2021,116.8
Rangers FC,Scottish Premiership,2020/2021,97.0
Hibernian FC,Scottish Premiership,2020/2021,23.08
Aberdeen FC,Scottish Premiership,2020/2021,19.93
Motherwell FC,Scottish Premiership,2020/2021,19.0
Livingston FC,Scottish Premiership,2020/2021,15.28
Dundee United FC,Scottish Premiership,2020/2021,12.63
St. Johnstone FC,Scottish Premiership,2020/2021,11.18
Ross County FC,Scottish Premiership,2020/2021,10.15
St. Mirren FC,Scottish Premiership,2020/2021,9.85
Kilmarnock FC,Scottish Premiership,2020/2021,9.0
Hamilton Academical FC,Scottish Premiership,2020/2021,8.65
Rangers FC,Scottish Premiership,2021/2022,161.38
Celtic FC,Scottish Premiership,2021/2022,126.68
Hibernian FC,Scottish Premiership,2021/2022,24.5
Aberdeen FC,Scottish Premiership,2021/2022,19.55
Heart of Midlothian FC,Scottish Premiership,2021/2022,16.35
Dundee United FC,Scottish Premiership,2021/2022,15.05
St. Johnstone FC,Scottish Premiership,2021/2022,13.35
Livingston FC,Scottish Premiership,2021/2022,11.85
Motherwell FC,Scottish Premiership,2021/2022,11.01
St. Mirren FC,Scottish Premiership,2021/2022,10.78
Ross County FC,Scottish Premiership,2021/2022,9.3
Dundee FC,Scottish Premiership,2021/2022,8.55
Celtic FC,Scottish Premiership,2022/2023,159.9
Rangers FC,Scottish Premiership,2022/2023,116.73
Hibernian FC,Scottish Premiership,2022/2023,23.15
Heart of Midlothian FC,Scottish Premiership,2022/2023,18.95
Aberdeen FC,Scottish Premiership,2022/2023,17.08
Motherwell FC,Scottish Premiership,2022/2023,12.0
Livingston FC,Scottish Premiership,2022/2023,11.9
St. Mirren FC,Scottish Premiership,2022/2023,11.35
St. Johnstone FC,Scottish Premiership,2022/2023,10.55
Ross County FC,Scottish Premiership,2022/2023,10.18
Kilmarnock FC,Scottish Premiership,2022/2023,10.18
Dundee United FC,Scottish Premiership,2022/2023,9.85
Celtic FC,Scottish Premiership,2023/2024,157.28
Rangers FC,Scottish Premiership,2023/2024,118.68
Heart of Midlothian FC,Scottish Premiership,2023/2024,25.18
Motherwell FC,Scottish Premiership,2023/2024,20.75
Aberdeen FC,Scottish Premiership,2023/2024,19.28
Hibernian FC,Scottish Premiership,2023/2024,18.85
Dundee FC,Scottish Premiership,2023/2024,11.63
St. Mirren FC,Scottish Premiership,2023/2024,11.25
Kilmarnock FC,Scottish Premiership,2023/2024,10.95
Ross County FC,Scottish Premiership,2023/2024,10.3
St. Johnstone FC,Scottish Premiership,2023/2024,9.03
Livingston FC,Scottish Premiership,2023/2024,8.1
Celtic FC,Scottish Premiership,2024/2025,180.83
Rangers FC,Scottish Premiership,2024/2025,84.45
Aberdeen FC,Scottish Premiership,2024/2025,30.58
Heart of Midlothian FC,Scottish Premiership,2024/2025,22.12
Hibernian FC,Scottish Premiership,2024/2025,20.38
Motherwell FC,Scottish Premiership,2024/2025,18.9
Dundee FC,Scottish Premiership,2024/2025,14.18
Kilmarnock FC,Scottish Premiership,2024/2025,12.23
Dundee United FC,Scottish Premiership,2024/2025,11.85
St. Mirren FC,Scottish Premiership,2024/2025,10.03
St. Johnstone FC,Scottish Premiership,2024/2025,9.78
Ross County FC,Scottish Premiership,2024/2025,8.4
Galatasaray,Super Lig,2019/2020,105.13
Trabzonspor,Super Lig,2019/2020,87.03
Fenerbahce,Super Lig,2019/2020,75.9
Besiktas JK,Super Lig,2019/2020,63.25
Basaksehir FK,Super Lig,2019/2020,53.85
Kasimpasa,Super Lig,2019/2020,30.0
Sivasspor,Super Lig,2019/2020,27.3
Caykur Rizespor,Super Lig,2019/2020,22.68
Yeni Malatyaspor,Super Lig,2019/2020,22.33
Kayserispor,Super Lig,2019/2020,21.58
Alanyaspor,Super Lig,2019/2020,21.3
Konyaspor,Super Lig,2019/2020,20.23
Gaziantep FK,Super Lig,2019/2020,20.1
Antalyaspor,Super Lig,2019/2020,19.15
Göztepe,Super Lig,2019/2020,17.23
Denizlispor,Super Lig,2019/2020,15.95
Genclerbirligi Ankara,Super Lig,2019/2020,13.75
MKE Ankaragücü,Super Lig,2019/2020,11.85
Fenerbahce,Super Lig,2020/2021,115.45
Galatasaray,Super Lig,2020/2021,107.63
Besiktas JK,Super Lig,2020/2021,104.5
Trabzonspor,Super Lig,2020/2021,99.13
Basaksehir FK,Super Lig,2020/2021,69.23
Alanyaspor,Super Lig,2020/2021,49.68
Kasimpasa,Super Lig,2020/2021,38.88
Fatih Karagümrük,Super Lig,2020/2021,38.45
Göztepe,Super Lig,2020/2021,37.53
Hatayspor,Super Lig,2020/2021,36.15
Sivasspor,Super Lig,2020/2021,30.7
Caykur Rizespor,Super Lig,2020/2021,30.7
Antalyaspor,Super Lig,2020/2021,30.23
Konyaspor,Super Lig,2020/2021,29.88
Yeni Malatyaspor,Super Lig,2020/2021,28.48
Gaziantep FK,Super Lig,2020/2021,27.48
Kayserispor,Super Lig,2020/2021,23.03
MKE Ankaragücü,Super Lig,2020/2021,20.7
Genclerbirligi Ankara,Super Lig,2020/2021,16.23
Büyüksehir Belediye Erzurumspor,Super Lig,2020/2021,15.53
Denizlispor,Super Lig,2020/2021,14.18
Fenerbahce,Super Lig,2021/2022,152.13
Galatasaray,Super Lig,2021/2022,130.63
Trabzonspor,Super Lig,2021/2022,123.88
Besiktas JK,Super Lig,2021/2022,101.53
Basaksehir FK,Super Lig,2021/2022,62.88
Alanyaspor,Super Lig,2021/2022,52.28
Konyaspor,Super Lig,2021/2022,46.9
Adana Demirspor,Super Lig,2021/2022,46.0
Kasimpasa,Super Lig,2021/2022,43.15
Kayserispor,Super Lig,2021/2022,40.9
Antalyaspor,Super Lig,2021/2022,37.65
Hatayspor,Super Lig,2021/2022,36.18
Fatih Karagümrük,Super Lig,2021/2022,36.15
Giresunspor,Super Lig,2021/2022,31.7
Sivasspor,Super Lig,2021/2022,30.58
Gaziantep FK,Super Lig,2021/2022,30.28
Göztepe,Super Lig,2021/2022,24.68
Caykur Rizespor,Super Lig,2021/2022,24.0
Yeni Malatyaspor,Super Lig,2021/2022,20.38
Altay SK,Super Lig,2021/2022,14.25
Galatasaray,Super Lig,2022/2023,202.65
Fenerbahce,Super Lig,2022/2023,193.23
Trabzonspor,Super Lig,2022/2023,135.3
Besiktas JK,Super Lig,2022/2023,127.7
Basaksehir FK,Super Lig,2022/2023,75.1
Adana Demirspor,Super Lig,2022/2023,57.65
Konyaspor,Super Lig,2022/2023,48.58
Alanyaspor,Super Lig,2022/2023,43.28
Antalyaspor,Super Lig,2022/2023,41.6
MKE Ankaragücü,Super Lig,2022/2023,40.48
Fatih Karagümrük,Super Lig,2022/2023,40.33
Kasimpasa,Super Lig,2022/2023,39.23
Kayserispor,Super Lig,2022/2023,31.05
Sivasspor,Super Lig,2022/2023,28.93
Gaziantep FK,Super Lig,2022/2023,24.1
Hatayspor,Super Lig,2022/2023,23.03
Istanbulspor,Super Lig,2022/2023,18.43
Giresunspor,Super Lig,2022/2023,18.38
Ümraniyespor,Super Lig,2022/2023,12.05
Galatasaray,Super Lig,2023/2024,255.65
Fenerbahce,Super Lig,2023/2024,218.3
Besiktas JK,Super Lig,2023/2024,146.88
Trabzonspor,Super Lig,2023/2024,118.38
Basaksehir FK,Super Lig,2023/2024,54.15
Adana Demirspor,Super Lig,2023/2024,53.3
Samsunspor,Super Lig,2023/2024,34.88
Caykur Rizespor,Super Lig,2023/2024,34.15
Kayserispor,Super Lig,2023/2024,34.05
MKE Ankaragücü,Super Lig,2023/2024,33.38
Alanyaspor,Super Lig,2023/2024,32.53
Fatih Karagümrük,Super Lig,2023/2024,32.33
Konyaspor,Super Lig,2023/2024,32.28
Antalyaspor,Super Lig,2023/2024,31.48
Sivasspor,Super Lig,2023/2024,30.38
Kasimpasa,Super Lig,2023/2024,28.98
Hatayspor,Super Lig,2023/2024,28.9
Gaziantep FK,Super Lig,2023/2024,24.03
Pendikspor,Super Lig,2023/2024,23.38
Istanbulspor,Super Lig,2023/2024,12.93
Galatasaray,Super Lig,2024/2025,317.28
Fenerbahce,Super Lig,2024/2025,269.83
Besiktas JK,Super Lig,2024/2025,137.38
Trabzonspor,Super Lig,2024/2025,117.68
Basaksehir FK,Super Lig,2024/2025,65.18
Göztepe,Super Lig,2024/2025,53.6
Caykur Rizespor,Super Lig,2024/2025,40.73
Eyüpspor,Super Lig,2024/2025,35.48
Kasimpasa,Super Lig,2024/2025,35.3
Samsunspor,Super Lig,2024/2025,33.48
Alanyaspor,Super Lig,2024/2025,26.53
Gaziantep FK,Super Lig,2024/2025,24.06
Konyaspor,Super Lig,2024/2025,23.58
Kayserispor,Super Lig,2024/2025,22.38
Antalyaspor,Super Lig,2024/2025,22.08
Bodrum FK,Super Lig,2024/2025,20.5
Adana Demirspor,Super Lig,2024/2025,19.95
Hatayspor,Super Lig,2024/2025,17.7
Sivasspor,Super Lig,2024/2025,17.2
Red Bull Salzburg,Bundesliga Austria,2019/2020,204.1
Rapid Vienna,Bundesliga Austria,2019/2020,33.05
LASK,Bundesliga Austria,2019/2020,26.18
SK Sturm Graz,Bundesliga Austria,2019/2020,21.43
Austria Vienna,Bundesliga Austria,2019/2020,18.15
Wolfsberger AC,Bundesliga Austria,2019/2020,17.45
FC Admira Wacker Mödling,Bundesliga Austria,2019/2020,11.13
SCR Altach,Bundesliga Austria,2019/2020,10.7
